date,model_name,rmse,mae,mape

2023-09-26 00:00:00,AR-baseline-spot,83.578,65.991,2.7
2023-09-26 00:00:00,ARIMA-spot,90.905,71.882,2.9000000000000004
2023-09-26 00:00:00,PMARIMA-spot,81.012,63.474,2.7
2023-09-26 00:00:00,SARIMAX-spot,81.012,63.474,2.7
2023-09-26 00:00:00,ARIMAX-spot,81.249,64.918,2.7
2023-09-26 00:00:00,LR-model,331.479,281.22,11.799999999999999
2023-09-26 00:00:00,DT-model,461.557,364.223,15.2
2023-09-26 00:00:00,DT_simple-model,461.557,364.223,15.2
2023-09-26 00:00:00,RFR-model_no_stock,415.231,337.534,14.099999999999998
2023-09-26 00:00:00,RFR-model,408.918,332.684,13.900000000000002
2023-09-26 00:00:00,GBR-model_full,216.733,170.802,7.000000000000001
2023-09-26 00:00:00,GBR-model_futures,106.044,79.053,3.3000000000000003
2023-09-26 00:00:00,Stacking,292.019,249.106,10.4
2023-09-27 00:00:00,AR-baseline-spot,91.375,72.977,3.0
2023-09-27 00:00:00,ARIMA-spot,100.383,80.967,3.3000000000000003
2023-09-27 00:00:00,PMARIMA-spot,264.442,222.888,9.1
2023-09-27 00:00:00,SARIMAX-spot,264.442,222.888,9.1
2023-09-27 00:00:00,ARIMAX-spot,92.173,73.47,3.1
2023-09-27 00:00:00,LR-model,324.301,274.169,11.5
2023-09-27 00:00:00,DT-model,454.856,356.892,14.799999999999999
2023-09-27 00:00:00,DT_simple-model,454.856,356.892,14.799999999999999
2023-09-27 00:00:00,RFR-model_no_stock,408.632,331.075,13.8
2023-09-27 00:00:00,RFR-model,401.442,325.779,13.600000000000001
2023-09-27 00:00:00,GBR-model_full,197.144,150.014,6.1
2023-09-27 00:00:00,GBR-model_futures,113.1,85.034,3.5000000000000004
2023-09-27 00:00:00,Stacking,340.4,297.213,12.4
2023-09-28 00:00:00,AR-baseline-spot,106.134,89.116,3.5999999999999996
2023-09-28 00:00:00,ARIMA-spot,116.117,97.971,4.0
2023-09-28 00:00:00,PMARIMA-spot,539.931,475.942,19.5
2023-09-28 00:00:00,SARIMAX-spot,539.931,475.942,19.5
2023-09-28 00:00:00,ARIMAX-spot,112.877,95.36,4.1000000000000005
2023-09-28 00:00:00,LR-model,317.107,267.086,11.200000000000001
2023-09-28 00:00:00,DT-model,447.616,348.841,14.499999999999998
2023-09-28 00:00:00,DT_simple-model,447.616,348.841,14.499999999999998
2023-09-28 00:00:00,RFR-model_no_stock,400.605,323.017,13.5
2023-09-28 00:00:00,RFR-model,393.848,318.097,13.200000000000001
2023-09-28 00:00:00,GBR-model_full,194.958,148.006,6.0
2023-09-28 00:00:00,GBR-model_futures,112.439,92.418,3.8
2023-09-28 00:00:00,Stacking,311.766,269.383,11.3
2023-09-29 00:00:00,AR-baseline-spot,87.326,69.887,2.8000000000000003
2023-09-29 00:00:00,ARIMA-spot,94.375,75.798,3.1
2023-09-29 00:00:00,PMARIMA-spot,282.71,241.757,9.8
2023-09-29 00:00:00,SARIMAX-spot,282.71,241.757,9.8
2023-09-29 00:00:00,ARIMAX-spot,85.938,69.161,2.9000000000000004
2023-09-29 00:00:00,LR-model,310.809,260.138,10.9
2023-09-29 00:00:00,DT-model,441.269,342.343,14.2
2023-09-29 00:00:00,DT_simple-model,441.269,342.343,14.2
2023-09-29 00:00:00,RFR-model_no_stock,390.313,313.913,13.100000000000001
2023-09-29 00:00:00,RFR-model,384.686,309.868,12.9
2023-09-29 00:00:00,GBR-model_full,162.567,120.881,4.9
2023-09-29 00:00:00,GBR-model_futures,115.943,94.627,3.9
2023-09-29 00:00:00,Stacking,304.506,262.56,11.0
